d.kode_rs,d.nama_rs,d.nama_prop,d.kelas,d.pemilik,d.akreditasi
3172753,RS Umum Antam Medika,DKI JAKARTA,C,SWASTA/ LAINNYA,Tingkat Paripurna
3404189,RS UGM ,D I YOGYAKARTA,B,SWASTA/ LAINNYA,Tingkat Paripurna
3214038,RS Umum Bhakti Husada II Purwakarta,JAWA BARAT,C,Perusahaan,Tingkat Madya
9171046,RS Mutiara,PAPUA BARAT,D,Perorangan,Lulus Perdana
3515138,RS Umum Aisyiyah Siti Fatimah,JAWA TIMUR,D,Organisasi Islam ,Tingkat Utama
3314092,RS Umum Islam Yakssi Gemolong,JAWA TENGAH,D,Perusahaan,Lulus Perdana
3324037,RS Umum Muhammadiyah Darul Istiqomah,JAWA TENGAH,D,Organisasi Islam ,Tingkat Paripurna
3303099,RS Ibu dan Anak Ummu Hani,JAWA TENGAH,C,Perusahaan,Tingkat Utama
3524043,RS Bedah Mitra Sehat,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
3275403,RS Ibu dan Anak Rinova Intan,JAWA BARAT,C,Perusahaan,Tingkat Madya
3306106,RS Umum Purwa Husada,JAWA TENGAH,D,Perusahaan,Tingkat Dasar
7208013,RS Umum Daerah Raja Tombolotutu,SULAWESI TENGAH,C,Pemkab,Lulus Perdana
3301107,RS Umum Santa Maria Cilacap,JAWA TENGAH,D,Organisasi Katholik,Tingkat Utama
3309129,RS Umum Hidayah Boyolali,JAWA TENGAH,D,SWASTA/ LAINNYA,Tingkat Madya
3525090,RSU Wates Husada,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Dasar
5102046,RS Umum Kasih Ibu Tabanan,BALI,C,Perusahaan,Tingkat Utama
1109029,RS Umum Citra Husada,ACEH,D,Perusahaan,Lulus Perdana
3171786,RS Umum Mayapada,DKI JAKARTA,B,Perusahaan,Tingkat Paripurna
3201238,RS Umum Hermina Mekarsari,JAWA BARAT,C,Perusahaan,Tingkat Paripurna
3315059,RS Umum Islam Purwodadi ,JAWA TENGAH,D,Organisasi Islam ,Lulus Perdana
3507107,RS Ben Mari,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Paripurna
3515137,RSIA Pondok Tjandra,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Dasar
3501017,RS Ibu dan Anak Agung Mulia,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
1671331,RS Bhayangkara Palembang,SUMATERA SELATAN,C,POLRI,Tingkat Paripurna
3171785,RS Umum Bhayangkara Sespimma Polri,DKI JAKARTA,C,POLRI,Tingkat Paripurna
1275892,RS Umum Ridos,SUMATERA UTARA,D,Organisasi Sosial,Lulus Perdana
3674011,RS Ibu dan Anak Dhia,BANTEN,C,SWASTA/ LAINNYA,Lulus Perdana
3673004,RS Umum Daerah Banten,BANTEN,B,Pemprop,Tingkat Paripurna
3172752,RS Jantung Bina Waluya,DKI JAKARTA,C,Perusahaan,Tingkat Paripurna
3509136,RS Umum Citra Husada Jember,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Paripurna
1377003,RS Umum Aisyiyah Pariaman,SUMATERA BARAT,D,Organisasi Sosial,Lulus Perdana
1610003,RS Umum Daerah Kabupaten Ogan Ilir,SUMATERA SELATAN,D,Pemkab,Lulus Perdana
3515136,RS Mata Fatma,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
3507105,RS Lawang Medika,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Paripurna
3529026,RS Ibu dan Anak Esto Ebhu,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
1305015,RS Ibu dan Anak Sayang Ibu,SUMATERA BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
9108002,RS Umum Daerah Raja Ampat,PAPUA BARAT,D,Pemkab,Tingkat Madya
3402077,RS Umum Griya Mahardika Yogyakarta,D I YOGYAKARTA,C,Perusahaan,Tingkat Madya
3302227,RS Umum Medika Lestari Banyumas,JAWA TENGAH,D,SWASTA/ LAINNYA,Tingkat Utama
3318109,RS Umum  Budi Agung Pati,JAWA TENGAH,D,SWASTA/ LAINNYA,Tingkat Utama
8205033,RS Bethesda GMIH Tobelo,MALUKU UTARA,D,Organisasi Protestan,Lulus Perdana
1671328,RS Khusus Gigi dan Mulut Palembang Provinsi Sumate,SUMATERA SELATAN,C,Pemprop,Lulus Perdana
3578780,RS Orthopedi dan Traumatologi Surabaya,JAWA TIMUR,C,Perusahaan,Tingkat Paripurna
1871439,RS Ibu dan Anak Restu Bunda,LAMPUNG,C,Perusahaan,Lulus Perdana
5203025,RS Risa Sentra Medika Lombok Timur,NUSA TENGGARA BARAT,D,Perusahaan,Lulus Perdana
3507104,RS Prima Husada,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Paripurna
3201236,RS Umum Medika Dramaga,JAWA BARAT,C,Perusahaan,Tingkat Madya
3276041,RS Umum Grha Permata Ibu,JAWA BARAT,C,Perusahaan,Tingkat Utama
3101002,RS Umum Daerah Kepulauan Seribu,DKI JAKARTA,D,Pemprop,Lulus Perdana
3516037,RS Umum Kartini  ,JAWA TIMUR,D,Organisasi Sosial,Lulus Perdana
3327045,RS Umum Prima Medika ,JAWA TENGAH,C,SWASTA/ LAINNYA,Tingkat Utama
1901043,RS Umum Daerah Dr. (H.C.) Ir. Soekarno,KEPULAUAN BANGKA BELITUNG,B,Pemprop,Tingkat Paripurna
3301106,RS Umum Duta Mulya,JAWA TENGAH,D,Perusahaan,Tingkat Paripurna
7171099,RS Umum Siloam Hospital Manado,SULAWESI UTARA,B,Perusahaan,Tingkat Paripurna
7105030,RS Umum Daerah Amurang,SULAWESI UTARA,D,Pemkab,Lulus Perdana
7171098,RS Ibu dan Anak Kasih Ibu,SULAWESI UTARA,C,SWASTA/ LAINNYA,Lulus Perdana
3504073,RS Putra Waspada Tulungagung,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Paripurna
3516036,RS Mutiara Hati Mojokerto,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Madya
3516034,RS Dharma Husada,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
3521014,RS Umum Widodo,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Utama
3514052,RS Umum Bhayangkara Pusdik Brimob ,JAWA TIMUR,D,POLRI,Lulus Perdana
3517093,RS Al-Azis,JAWA TIMUR,D,Organisasi Islam ,Lulus Perdana
3512036,RS Umum Daerah Besuki Kabupaten Situbondo,JAWA TIMUR,D,Pemkab,Lulus Perdana
3302226,RS Ibu dan Anak Budhi Asih,JAWA TENGAH,C,Organisasi Sosial,Lulus Perdana
3517092,RS Muhammadiyah Jombang,JAWA TIMUR,D,Organisasi Islam ,Lulus Perdana
3517091,RS Umum Moedjito Dwidjosiswojo,JAWA TIMUR,D,Perusahaan,Tingkat Dasar
3517025,RS Airlangga ,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Paripurna
5272003,RS Harapan Keluarga,NUSA TENGGARA BARAT,C,Perusahaan,Tingkat Paripurna
1671327,RS Karya Asih Charitas Palembang,SUMATERA SELATAN,D,Organisasi Sosial,Lulus Perdana
3216402,RS Umum Anna Medika,JAWA BARAT,C,Perusahaan,Tingkat Paripurna
7471005,RS Aliyah,SULAWESI TENGGARA,D,SWASTA/ LAINNYA,Lulus Perdana
7471004,RS Umum Dewi Sartika,SULAWESI TENGGARA,D,SWASTA/ LAINNYA,Lulus Perdana
1278002,RS Umum Bethesda Gunungsitoli,SUMATERA UTARA,D,Organisasi Sosial,Lulus Perdana
5203024,RS Islam Namira,NUSA TENGGARA BARAT,D,Perorangan,Tingkat Dasar
3172750,RS Ibu dan Anak Resti Mulya,DKI JAKARTA,C,Perusahaan,Lulus Perdana
1275890,RS Umum Bunda Thamrin,SUMATERA UTARA,C,Perusahaan,Tingkat Paripurna
3171784,RS Umum Yadika,DKI JAKARTA,C,Perusahaan,Tingkat Madya
1771002,RS Umum Daerah Harapan dan Doa,BENGKULU,C,Pemkot,Tingkat Madya
7110002,RS Umum Daerah Bolaang Mongondow Selatan,SULAWESI UTARA,D,Pemkab,Lulus Perdana
1611042,RS Umum Daerah Kabupaten Empat Lawang,SUMATERA SELATAN,D,Pemkab,Lulus Perdana
3209052,RS Umum Universitas Muhammadiyah Cirebon,JAWA BARAT,C,Organisasi Islam ,Lulus Perdana
3274135,RS Umum Sumber Hurip,JAWA BARAT,D,SWASTA/ LAINNYA,Lulus Perdana
6107022,RS Tk. IV 12.07.02 Sintang,KALIMANTAN BARAT,D,TNI AD,Tingkat Dasar
5103035,RS Umum Siloam Bali,BALI,B,SWASTA/ LAINNYA,Tingkat Paripurna
1219003,RS Umum Daerah Batu Bara,SUMATERA UTARA,C,Pemkab,Lulus Perdana
1571163,RS Umum Baiturahim Jambi,JAMBI,C,SWASTA/ LAINNYA,Tingkat Paripurna
1371451,RS Ibu dan Anak Cicik,SUMATERA BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
3603181,RS Bethsaida,BANTEN,B,Perusahaan,Tingkat Paripurna
6271068,RS Jiwa Kalawa Atei,KALIMANTAN TENGAH,C,Pemkab,Tingkat Utama
1601002,RS Umum Dr. Noesmir Baturaja,SUMATERA SELATAN,D,TNI AD,Tingkat Madya
3373092,RS Bersalin Mutiara Bunda  Salatiga,JAWA TENGAH,C,Perorangan,Tingkat Utama
3578779,RS Ibu dan Anak Lombok Dua Dua,JAWA TIMUR,C,Perusahaan,Tingkat Utama
3578778,RS National Hospital,JAWA TIMUR,B,SWASTA/ LAINNYA,Tingkat Paripurna
3471121,RS Paru Respira,D I YOGYAKARTA,C,Pemprop,Tingkat Utama
1571162,RS Umum Kambang,JAMBI,C,Perusahaan,Tingkat Utama
3214037,RS Umum Holistic Purwakarta,JAWA BARAT,D,Perusahaan,Tingkat Utama
3214036,RS Ibu dan Anak Dian,JAWA BARAT,C,Perusahaan,Tingkat Dasar
7315016,RS Umum Aisyiyah St. Khadijah,SULAWESI SELATAN,D,Organisasi Sosial,Lulus Perdana
3313054,RS Umum Indo Sehat Karangayar ,JAWA TENGAH,D,SWASTA/ LAINNYA,Lulus Perdana
3175408,RS Umum Firdaus,DKI JAKARTA,C,Perusahaan,Lulus Perdana
3322072,RS Ibu dan Anak Plamongan Indah,JAWA TENGAH,C,Perusahaan,Lulus Perdana
3316063,RS Umum PKU Muhammdiyah Blora,JAWA TENGAH,D,SWASTA/ LAINNYA,Lulus Perdana
3306105,RS Ibu dan Anak Permata,JAWA TENGAH,C,Perusahaan,Tingkat Dasar
3204123,RS Ibu dan Anak Humana Prima,JAWA BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
1275889,RS Umum Murni Teguh Memorial Hospital,SUMATERA UTARA,B,Perusahaan,Tingkat Paripurna
9102034,RS Umum Daerah Kaimana,PAPUA BARAT,D,Pemkab,Lulus Perdana
1219002,RS Umum Lasmi Kartika,SUMATERA UTARA,D,Organisasi Sosial,Lulus Perdana
6171138,RS Umum Daerah Sultan Syarif  Mohammad Alkadri,KALIMANTAN BARAT,C,Pemkot,Tingkat Paripurna
3216397,RS Umum Asri Medika,JAWA BARAT,C,Perusahaan,Lulus Perdana
3214035,RS Umum Amira,JAWA BARAT,C,Perusahaan,Tingkat Paripurna
3205022,RS Umum Daerah Pameungpeuk Prov. Jabar,JAWA BARAT,D,Pemprop,Lulus Perdana
3171783,RS Ibu dan Anak Kemang Medical Care,DKI JAKARTA,B,Perusahaan,Tingkat Madya
3216396,RSIA Taman Harapan Baru,JAWA BARAT,C,Perusahaan,Lulus Perdana
5103034,RS Khusus Bedah BIMC Nusa Dua,BALI,B,SWASTA/ LAINNYA,Tingkat Paripurna
3375073,RS Umum H. A. Zaky Djunaid,JAWA TENGAH,D,SWASTA/ LAINNYA,Tingkat Utama
3214034,RS Umum Rama Hadi,JAWA BARAT,C,Perusahaan,Tingkat Paripurna
3214033,RS Ibu dan Anak Asri,JAWA BARAT,C,Perusahaan,Lulus Perdana
8108002,RS Umum Daerah Tiakur,MALUKU,D,Pemkab,Tingkat Dasar
3315058,RS Umum Enggal Waras,JAWA TENGAH,D,Organisasi Sosial,Lulus Perdana
7271128,RS Umum  Sis Al Jufri Palu,SULAWESI TENGAH,C,Organisasi Sosial,Lulus Perdana
3214032,RS Umum dr. Abdul Radjak,JAWA BARAT,B,Perusahaan,Tingkat Madya
3578777,RS Universitas Airlangga ,JAWA TIMUR,B,Kementerian Lain,Tingkat Paripurna
9228002,Rumah Sakit Umum Daerah Kawera,PAPUA,D PRATAMA,Pemkab,Lulus Perdana
1275888,RS Umum Martha Friska Multatuli,SUMATERA UTARA,B,Perusahaan,Tingkat Utama
3603180,RS Ciputra ,BANTEN,B,Perusahaan,Tingkat Paripurna
3201232,RS Umum Daerah Cileungsi,JAWA BARAT,C,Pemkab,Tingkat Paripurna
3272025,RS Umum Bhayangkara Setukpa Lemdikpol,JAWA BARAT,C,POLRI,Tingkat Utama
3515135,RS Bantuan 05.08.03 Sidoarjo,JAWA TIMUR,D,TNI AD,Tingkat Madya
3515133,RS Ibu dan Anak Mitra Husada,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
3515132,RS Umum Rahman Rahim,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
1902011,RS Umum Almah,KEPULAUAN BANGKA BELITUNG,D,SWASTA/ LAINNYA,Tingkat Utama
5320002,RS Umum Daerah Sabu Raijua,NUSA TENGGARA TIMUR,D,Pemkab,Tingkat Dasar
3603178,RS Ibu dan Anak Bunda Sejahtera,BANTEN,C,SWASTA/ LAINNYA,Tingkat Utama
3603177,RS Permata Hati,BANTEN,C,Perusahaan,Lulus Perdana
3603176,RSU Keluarga Kita,BANTEN,C,Perusahaan,Lulus Perdana
9104002,RS Umum Daerah Teluk Bintuni,PAPUA BARAT,C,Pemkab,Tingkat Paripurna
7371400,RS Ibu dan Anak Sitti Khadijah III Muhammadiyah Ma,SULAWESI SELATAN,C,Organisasi Sosial,Tingkat Madya
6208013,RS Umum Daerah Hanau,KALIMANTAN TENGAH,D,Pemkab,Lulus Perdana
1504017,RS Royal Prima,JAMBI,C,Perorangan,Tingkat Paripurna
3522061,RS Umum Ibnu Sina Bojonegoro,JAWA TIMUR,D,Perusahaan,Lulus Perdana
3511012,RS Bhayangkara Bondowoso ,JAWA TIMUR,C,POLRI,Tingkat Utama
3671205,RS Sari Asih Ciledug,BANTEN,B,Perusahaan,Tingkat Paripurna
3671204,RS Ariya Medika,BANTEN,C,Perusahaan,Tingkat Madya
3671203,RS Awal Bros Kota Tangerang,BANTEN,B,Perusahaan,Tingkat Paripurna
3673036,RS Sari Asih Serang,BANTEN,B,Perusahaan,Tingkat Paripurna
3604002,RS Hermina Ciruas,BANTEN,C,Perusahaan,Tingkat Paripurna
3215160,RS Umum Puri Asih,JAWA BARAT,C,Perusahaan,Tingkat Paripurna
7309044,RS AU dr. Dody Sardjoto,SULAWESI SELATAN,C,TNI AU,Tingkat Paripurna
7371399,RS Awal Bros Makassar,SULAWESI SELATAN,B,Perusahaan,Tingkat Paripurna
9203016,RS TNI Angkatan Darat Marthen Indey Jayapura,PAPUA,C,TNI AD,Tingkat Paripurna
9203015,RS TNI Angkatan Laut dr. Soedibjo Sardadi,PAPUA,C,TNI AL,Lulus Perdana
1223002,RS Umum Daerah  Aek Kanopan,SUMATERA UTARA,C,Pemkab,Tingkat Madya
3603175,RS Umum Murni Asih,BANTEN,C,SWASTA/ LAINNYA,Lulus Perdana
3603173,RS Ibu dan Anak Harapan Mulia,BANTEN,C,Perusahaan,Lulus Perdana
1371459,RS Khusus Mata Regina Eye Center,SUMATERA BARAT,C,Perusahaan,Lulus Perdana
7471002,RS Hati Mulia,SULAWESI TENGGARA,D,Perorangan,Lulus Perdana
3171782,RS Umum Andhika,DKI JAKARTA,C,Organisasi Sosial,Tingkat Paripurna
8103002,RS Umum Daerah Banda,MALUKU,D,Pemkab,Tingkat Dasar
3278018,RS Umum Syifa Medina,JAWA BARAT,D,SWASTA/ LAINNYA,Tingkat Dasar
5106026,RS Umum Bangli Medika Canti,BALI,C,Perusahaan,Lulus Perdana
3674007,RS Hermina Ciputat,BANTEN,C,Perusahaan,Tingkat Paripurna
3216389,RS Umum Hermina Galaxy,JAWA BARAT,C,Perusahaan,Tingkat Paripurna
2005002,RS Umum Daerah Bergerak Jemaja,KEPULAUAN RIAU,D,Pemkab,Tingkat Madya
7505002,RS Umum Daerah dr. Zainal Umar Sidiki,GORONTALO,C,Pemkab,Lulus Perdana
1275887,RS Umum Ibnu Saleh,SUMATERA UTARA,D,Organisasi Islam ,Lulus Perdana
1209077,RS Umum Daerah Tuan Rondahaim Pematang Raya,SUMATERA UTARA,C,Pemkab,Lulus Perdana
3171511,RS Umum Siloam Asri,DKI JAKARTA,B,Perusahaan,Tingkat Paripurna
3603172,RS St. Carolus Summarecon Serpong ,BANTEN,C,Perusahaan,Tingkat Paripurna
1110102,RS Umum Telaga Bunda,ACEH,D,Organisasi Sosial,Tingkat Utama
3319022,RS Umum Kumala Siwimijen Kudus,JAWA TENGAH,D,Organisasi Sosial,Tingkat Paripurna
3375072,RS Umum Anugerah Pekalongan,JAWA TENGAH,D,SWASTA/ LAINNYA,Tingkat Paripurna
3201231,RS Sentosa,JAWA BARAT,C,Perusahaan,Tingkat Paripurna
3215158,RS Umum Fikri Medika,JAWA BARAT,C,Perusahaan,Lulus Perdana
5371054,RS Mamami,NUSA TENGGARA TIMUR,D,Perorangan,Lulus Perdana
5371052,RS Santo Carrolus Boromeus,NUSA TENGGARA TIMUR,C,Organisasi Katholik,Tingkat Utama
5371047,RS Ibu dan Anak Dedari,NUSA TENGGARA TIMUR,C,Organisasi Sosial,Tingkat Utama
3525089,RS Umum Mabarrot MWC NU,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
3578774,RS Ibu dan Anak Nur Ummi Numbi,JAWA TIMUR,C,Perusahaan,Tingkat Madya
3216393,RS Umum Mitra Keluarga Cikarang,JAWA BARAT,B,Perusahaan,Tingkat Paripurna
3674006,RS Syarif Hidayatullah,BANTEN,C,Organisasi Sosial,Tingkat Paripurna
5371046,RS TNI AL Lantamal VII Kupang,NUSA TENGGARA TIMUR,C,TNI AL,Lulus Perdana
3275392,RS Umum Awal Bros Bekasi,JAWA BARAT,B,Perusahaan,Tingkat Paripurna
3217002,RS Umum Daerah Cililin,JAWA BARAT,D,Pemkab,Tingkat Madya
1173003,RS Umum Ummi Langsa,ACEH,D,SWASTA/ LAINNYA,Lulus Perdana
6112002,RS Ibu dan Anak Anugrah,KALIMANTAN BARAT,C,Perorangan,Tingkat Madya
9213039,RS Umum Daerah Boven Digoel,PAPUA,Belum Ditetapkan,Pemkab,Lulus Perdana
9230002,RS Umum Daerah Tiom,PAPUA,Belum Ditetapkan,Pemkab,Lulus Perdana
3578773,RS Ibu dan Anak Bantuan 05.08.05 Surabaya,JAWA TIMUR,C,TNI AD,Tingkat Utama
3674005,RS Sari Asih Ciputat,BANTEN,B,Perusahaan,Tingkat Paripurna
3674004,RS Permata Pamulang,BANTEN,C,SWASTA/ LAINNYA,Tingkat Paripurna
1505028,RS Umum Daerah Sungai Gelam,JAMBI,D,Pemkab,Lulus Perdana
3275390,RS Ibu dan Anak Selasih Medika,JAWA BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
1871002,RS Umum Wisma Rini Pringsewu,LAMPUNG,D,Perorangan,Lulus Perdana
3515131,RS Umum Citra Medika,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Paripurna
3327044,RS Umum Siaga Medika Pemalang ,JAWA TENGAH,C,SWASTA/ LAINNYA,Tingkat Paripurna
3208063,RS Mitra Husada Ciawigebang,JAWA BARAT,D,Perorangan,Tingkat Paripurna
1971002,RS  Katolik Bhakti Wara,KEPULAUAN BANGKA BELITUNG,D,Organisasi Katholik,Tingkat Utama
1109028,RS Umum Mufid,ACEH,D,Perusahaan,Tingkat Madya
1671325,RS Hermina Palembang,SUMATERA SELATAN,C,Perusahaan,Tingkat Paripurna
3329103,RS Umum Islami Mutiara Bunda,JAWA TENGAH,D,Perusahaan,Tingkat Paripurna
3206083,RS Ibu dan Anak dr. Hj. Karmini EH,JAWA BARAT,C,Organisasi Sosial,Lulus Perdana
1371457,RS Khusus Mata Padang Eye Center,SUMATERA BARAT,C,SWASTA/ LAINNYA,Tingkat Paripurna
3502146,RS Umum Muslimat Ponorogo,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Paripurna
1276075,RS Umum Bidadari,SUMATERA UTARA,C,Perusahaan,Tingkat Paripurna
3510104,RS Umum PKU Muhammadiyah Rogojampi,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
1275100,RS Umum Methodis Susanna Wesley,SUMATERA UTARA,C,Organisasi Sosial,Tingkat Dasar
3513026,RS Umum  Wonolangan,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Paripurna
3515130,RS Umum Prima Husada,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
1110101,RS Umum Bireuen Medical Center ,ACEH,D,Organisasi Sosial,Tingkat Paripurna
3573253,RS Ibu dan Anak Melati Husada,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
3508056,RS Islam Lumajang,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Paripurna
3274134,RS Umum Medimas,JAWA BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
3404187,RS Khusus Ibu Anak Sadewa,D I YOGYAKARTA,C,Perusahaan,Tingkat Utama
3174510,RS Umum Anggrek Mas,DKI JAKARTA,D,SWASTA/ LAINNYA,Lulus Perdana
7371336,RS Hikmah,SULAWESI SELATAN,C,Organisasi Sosial,Tingkat Dasar
1275999,RS Jiwa Bina Karsa Medan,SUMATERA UTARA,C,Organisasi Sosial,Tingkat Madya
3573252,RS Ibu dan Anak Mutiara Bunda,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Madya
3674171,RS Ibu dan Anak Cinta Kasih,BANTEN,C,Perusahaan,Tingkat Utama
3208059,RS Umum Daerah Linggajati Kuningan,JAWA BARAT,C,Pemkab,Tingkat Madya
3329102,RS Umum Daerah Bumiayu,JAWA TENGAH,D,Pemkab,Lulus Perdana
3528025,RS Umum Asyifa Husada Pamekasan,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
7314025,RS Umum Anugrah Pangkajene,SULAWESI SELATAN,D,SWASTA/ LAINNYA,Lulus Perdana
3515129,RS Ibu dan Anak Soerya,JAWA TIMUR,C,Perusahaan,Lulus Perdana
3504071,RS Umum Muhammadiyah Bandung ,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
7171097,RS TNI AU Lanud Sam Ratulangi,SULAWESI UTARA,D,TNI AU,Lulus Perdana
3509135,RS Bina Sehat Jember,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Paripurna
3515122,RSU Mitra Keluarga Waru,JAWA TIMUR,B,Perusahaan,Tingkat Paripurna
7603024,RS Umum Daerah Kondosapata Kab. Mamasa,SULAWESI BARAT,D,Pemkab,Lulus Perdana
3510103,RS Al Huda ,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Paripurna
1408080,RS Umum  Permata Hati,R I A U,C,Perusahaan,Lulus Perdana
6472121,RS Khusus Ibu dan Anak Qurrata A'yun,KALIMANTAN TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
6404046,RS Umum Medika Sangatta,KALIMANTAN TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
6473043,RS Umum Pertamedika Tarakan,KALIMANTAN UTARA,D,Perusahaan,Lulus Perdana
6471077,RS Umum Balikpapan Baru,KALIMANTAN TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
6471075,RS Siloam Hospitals Balikpapan,KALIMANTAN TIMUR,B,SWASTA/ LAINNYA,Tingkat Paripurna
6404044,RS Pupuk Kaltim Prima Sangata,KALIMANTAN TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
6474033,RS Amalia,KALIMANTAN TIMUR,D,SWASTA/ LAINNYA,Tingkat Paripurna
1275997,RS Umum Bina Kasih,SUMATERA UTARA,B,Organisasi Sosial,Tingkat Utama
1871440,RS Ibu dan Anak Mutiara Putri,LAMPUNG,C,Perusahaan,Lulus Perdana
1471387,RS Ibu dan Anak  Zainab,R I A U,C,Perusahaan,Tingkat Utama
1404027,RS Umum  Amalia Medika,R I A U,D,Perusahaan,Lulus Perdana
1406044,RS Ibu Anak  Husada Bunda,R I A U,C,Perorangan,Lulus Perdana
1471386,RS Ibu dan Anak  Annisa,R I A U,C,BUMN,Lulus Perdana
1471384,RS Awal Bros A. Yani,R I A U,C,Perusahaan,Lulus Perdana
1408079,RS Umum  Thursina,R I A U,D,SWASTA/ LAINNYA,Lulus Perdana
1471383,RS Umum  Sansani,R I A U,C,SWASTA/ LAINNYA,Lulus Perdana
1671324,RS Ibu dan Anak Rika Amelia,SUMATERA SELATAN,C,Organisasi Sosial,Lulus Perdana
3403022,RS Umum Pelita Husada ,D I YOGYAKARTA,D,Perorangan,Tingkat Madya
3506062,RS Umum  Aura Syifa,JAWA TIMUR,C,Perusahaan,Lulus Perdana
3573251,RS Ibu dan Anak Mardi Waloeja Rampal Malang,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Dasar
3512035,RS Ibu dan Anak Fatimah Lamongan,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Utama
3520013,RS Ibu dan Anak Bhakti Persada,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Madya
3273540,RS Khusus Gigi dan Mulut Kota Bandung,JAWA BARAT,C,Pemkot,Tingkat Madya
3578772,RS Manyar Medical Centre,JAWA TIMUR,B,Perusahaan,Tingkat Paripurna
3671202,RS Ibu dan Anak Mutiara Bunda,BANTEN,C,Perusahaan,Tingkat Paripurna
1804012,RS Umum Aka Medika Sribhawono,LAMPUNG,C,Perorangan,Tingkat Madya
1807016,RS Umum Haji Kamino,LAMPUNG,C,Organisasi Sosial,Tingkat Utama
1810003,RSU Surya Asih,LAMPUNG,D,Perorangan,Lulus Perdana
1803033,RS Natar Medika,LAMPUNG,C,Perusahaan,Tingkat Madya
1404026,RS Umum  Medicare Sorek,R I A U,D,SWASTA/ LAINNYA,Lulus Perdana
5206028,RS PKU Muhammadiyah Bima,NUSA TENGGARA BARAT,D,Organisasi Islam ,Lulus Perdana
3314090,RS Umum PKU Muhammadiyah Sragen ,JAWA TENGAH,D,SWASTA/ LAINNYA,Tingkat Madya
2072002,RS Umum Daerah Provinsi Kepulauan Riau Tanjungpina,KEPULAUAN RIAU,B,Pemprop,Tingkat Paripurna
1376011,RS Umum Ibnu Sina Kota Payakumbuh,SUMATERA BARAT,C,Organisasi Islam ,Lulus Perdana
3573250,RS Ibu dan Anak Puri Bunda,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Paripurna
3522060,RS Umum Muhammadiyah Kalitidu,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
1276074,RS Umum Latersia,SUMATERA UTARA,C,Perusahaan,Lulus Perdana
3522059,RS Bhayangkara Wahyu Tutuko Bojonegoro ,JAWA TIMUR,D,POLRI,Tingkat Madya
3571147,RS Umum Ratih,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
2002002,RS Umum Daerah  Kabupaten Bintan,KEPULAUAN RIAU,C,Pemkab,Lulus Perdana
3571146,RS Umum Lirboyo,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Madya
3573249,RS Umum Permata Bunda,JAWA TIMUR,D,Perusahaan,Tingkat Madya
