d.kode_rs,d.nama_rs,d.nama_prop,d.jenis_rs,d.kelas,d.pemilik,(d.total_tt)
3525087,RS Denisa,JAWA TIMUR,RSU,D,SWASTA/ LAINNYA,23
3523052,RS Muhammadiyah Tuban,JAWA TIMUR,RSU,D,SWASTA/ LAINNYA,59
3522058,RS umum Daerah Padangan,JAWA TIMUR,RSU,D,Pemkab,115
3522047,RS Umum Daerah Sumberrejo,JAWA TIMUR,RSU,D,Pemkab,73
3522036,RS Umum Muhamadiyah Sumberejo,JAWA TIMUR,RSU,D,Organisasi Islam ,74
3518033,RS Sumber Waras,JAWA TIMUR,RSU,D,Perusahaan,25
3517076,RS Umum Islam Jombang,JAWA TIMUR,RSU,D,SWASTA/ LAINNYA,66
3576076,RS Emma,JAWA TIMUR,RSU,D,Organisasi Sosial,86
3515110, RS Umum Jasem,JAWA TIMUR,RSU,D,SWASTA/ LAINNYA,56
3514025,RS Islam Masyithoh Bangil,JAWA TIMUR,RSU,D,SWASTA/ LAINNYA,103
3510091,  RS Islam Banyuwangi,JAWA TIMUR,RSU,D,SWASTA/ LAINNYA,31
3509101,RS Utama Husada Jember,JAWA TIMUR,RSU,D,SWASTA/ LAINNYA,20
3507015, RS Bala Keselamatan Bokor,JAWA TIMUR,RSU,D,SWASTA/ LAINNYA,70
3506036,RS Umum Amelia,JAWA TIMUR,RSU,D,SWASTA/ LAINNYA,89
3503022,RS Umum Budi Asih Trenggalek,JAWA TIMUR,RSU,D,Organisasi Sosial,52
3502145,RS Griya Waluya,JAWA TIMUR,RSU,D,SWASTA/ LAINNYA,46
3401058,RS Umum Queen Latifa,D I YOGYAKARTA,RSU,D,SWASTA/ LAINNYA,22
3403025,RS Bethesda Wonosari,D I YOGYAKARTA,RSU,D,Organisasi Protestan,12
3401053,RS Umum Pura Raharja Medika,D I YOGYAKARTA,RSU,D,SWASTA/ LAINNYA,38
3471377,UPT Rumah Sakit Pratama Kota Yogyakarta,D I YOGYAKARTA,RSU,D,Pemkot,46
3403024,RS Umum PKU Muhammadiyah Wonosari,D I YOGYAKARTA,RSU,D,Organisasi Islam ,34
3404191,RS Universitas Ahmad Dahlan,D I YOGYAKARTA,RSU,D,SWASTA/ LAINNYA,49
3404190,RS Umum Mitra Sehat,D I YOGYAKARTA,RSU,D,Perusahaan,30
3403022,RS Umum Pelita Husada ,D I YOGYAKARTA,RSU,D,Perorangan,43
3401051,RS Umum Rizki Amalia,D I YOGYAKARTA,RSU,D,SWASTA/ LAINNYA,39
3401050,RS Umum PKU Muhammadiyah Nanggulan,D I YOGYAKARTA,RSU,D,Organisasi Sosial,34
3401049,RS Umum PKU Muhammadiyah Wates,D I YOGYAKARTA,RSU,D,Organisasi Islam ,0
3404184,RS Umum Bhayangkara POLDA DIY,D I YOGYAKARTA,RSU,D,POLRI,44
3404182,RS Umum Gramedika 10,D I YOGYAKARTA,RSU,D,Perusahaan,23
3404181,RS Umum At-Turost Al-Islamy,D I YOGYAKARTA,RSU,D,Organisasi Islam ,42
3404179,RS Umum Mitra Paramedika,D I YOGYAKARTA,RSU,D,Organisasi Sosial,48
3404092,RSU Puri Husada Yogyakarta ,D I YOGYAKARTA,RSU,D,SWASTA/ LAINNYA,0
3404081,RS Umum Condong Catur ,D I YOGYAKARTA,RSU,D,SWASTA/ LAINNYA,42
3404045,RS Umum Queen Latifa ,D I YOGYAKARTA,RSU,D,SWASTA/ LAINNYA,39
3402086,RS Rajawali Citra ,D I YOGYAKARTA,RSU,D,Organisasi Sosial,49
3402064,RS Umum Rachma Husada ,D I YOGYAKARTA,RSU,D,Organisasi Sosial,62
3401048,RS Umum Kharisma Paramedika,D I YOGYAKARTA,RSU,D,SWASTA/ LAINNYA,43
3402075,RS Umum Permata Husada,D I YOGYAKARTA,RSU,D,Organisasi Sosial,14
3471373,RS Happy Land Medical Centre,D I YOGYAKARTA,RSU,D,SWASTA/ LAINNYA,41
3471336,RS Bethesda Lempuyangwangi,D I YOGYAKARTA,RSU,D,Organisasi Sosial,34
3471282,RS Ludira Husada Tama,D I YOGYAKARTA,RSU,D,Organisasi Sosial,32
3471026,RS Islam Hidayatullah Yogyakarta,D I YOGYAKARTA,RSU,D,Organisasi Islam ,83
3404135,RS Umum Dharma,D I YOGYAKARTA,RSU,D,Organisasi Sosial,0
3404124,RS Umum Panti Nugroho,D I YOGYAKARTA,RSU,D,Organisasi Sosial,41
3404033,RS Umum Panti Baktiningsih,D I YOGYAKARTA,RSU,D,Organisasi Sosial,19
3403021,RS Umum Nur Rohmah,D I YOGYAKARTA,RSU,D,Organisasi Sosial,42
3402053,RS Umum Nur Hidayah,D I YOGYAKARTA,RSU,D,Organisasi Sosial,64
3402020,RS Umum Santa Elisabeth,D I YOGYAKARTA,RSU,D,Organisasi Katholik,45
3401037,RS Umum Rizki Amalia Medika,D I YOGYAKARTA,RSU,D,Organisasi Sosial,49
3401026,RS Umum St Yusup Boro,D I YOGYAKARTA,RSU,D,Organisasi Sosial,25
3329114,RSU Bhakti Asih Jatibarang,JAWA TENGAH,RSU,D,Perusahaan,41
3312310,RS PKU Muhammadiyah Wonogiri,JAWA TENGAH,RSU,D,Organisasi Islam ,38
3371144,RSUD Budi Rahayu,JAWA TENGAH,RSU,D,Pemkot,35
3372201,RSUP Surakarta,JAWA TENGAH,RSU,D,Kemkes ,52
3320046,RS PKU Aisyiyah Jepara,JAWA TENGAH,RSU,D,Organisasi Islam ,20
3324040,RSU Charlie Hospital,JAWA TENGAH,RSU,D,Perorangan,45
3329113,RS Harapan Sehat Bumiayu,JAWA TENGAH,RSU,D,Perusahaan,40
3327048,RS Harapan Sehat Pemalang,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,98
3328082,RS Hawari Essa,JAWA TENGAH,RSU,D,Perorangan,36
3329112,RS Harapan Sehat Jatibarang,JAWA TENGAH,RSU,D,Perusahaan,43
3328081,RS Harapan Sehat Slawi,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,98
3301114,RS Umum Aghisna Medika Sidareja,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,50
3304035,RS Umum PKU Muhammadiyah Banjarnegara,JAWA TENGAH,RSU,D,Organisasi Islam ,46
3310416,RSU PKU Muhammadiyah Delanggu,JAWA TENGAH,RSU,D,Organisasi Islam ,172
3314097,RS Umum Saras Ibnu Sina Sukowati,JAWA TENGAH,RSU,D,Perusahaan,70
3374371,Siloam Hospitals Semarang,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,13
3306112,RS Umum Ananda Purworejo,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,22
3301112,RSU Raffa Majenang,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,50
3314096,RS Umum Rizky Amalia,JAWA TENGAH,RSU,D,Perusahaan,40
3375075,RS Umum Hermina Pekalongan,JAWA TENGAH,RSU,D,Perusahaan,28
3306111,RS Amanah Umat Purworejo,JAWA TENGAH,RSU,D,Perusahaan,99
3372238,RS PKU Muhammadiyah Sampangan Surakarta,JAWA TENGAH,RSU,D,Organisasi Islam ,18
3311230,RS PKU Muhammadiyah Kartasura,JAWA TENGAH,RSU,D,Organisasi Islam ,53
3309132,RS Umum Natalia,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,40
3310425,RS PKU Muhammadiyah Pedan,JAWA TENGAH,RSU,D,Organisasi Islam ,50
3325039,RS Umum Daerah Limpung,JAWA TENGAH,RSU,D,Pemkab,67
3309135,RS Indriati Boyolali,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,44
3318113,RS Umum As-Suyuthiyyah ,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,46
3327047,RS Umum Muhammadiyah Mardhatillah,JAWA TENGAH,RSU,D,Organisasi Islam ,74
3306110,RS Umum Budi Sehat Purworejo,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,47
3322073,RS Umum Kusuma Ungaran ,JAWA TENGAH,RSU,D,Perusahaan,68
3306109,RS Umum Islam Purworejo,JAWA TENGAH,RSU,D,Organisasi Islam ,67
3318111,RS Umum Sebening Kasih,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,42
3318110,RS Umum Fastabiq Sehat PKU Muhammadiyah Pati,JAWA TENGAH,RSU,D,Organisasi Islam ,97
3329109,RS Umum Amanah Mahmudah,JAWA TENGAH,RSU,D,Perusahaan,41
3308019,RS Umum Padma Lalita,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,42
3310419,RS Umum Mitra Keluarga Husada Klaten,JAWA TENGAH,RSU,D,Perusahaan,57
3324038,RS Umum Baitul Hikmah,JAWA TENGAH,RSU,D,Perusahaan,47
3301109,RSU Afdila Cilacap,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,88
3310418,RS Umum PKU Muhammadiyah Jatinom Klaten,JAWA TENGAH,RSU,D,Organisasi Islam ,62
3310417,RS Umum Islam Cawas Klaten,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,54
3301108,RS Umum Aghisna Medika Kroya ,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,50
3329108,RS Umum Alam Medica ,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,69
3312309,RS Umum Astrini,JAWA TENGAH,RSU,D,Perusahaan,48
3308018,RS Umum N21 - Gemilang ,JAWA TENGAH,RSU,D,Perusahaan,43
3308017,RS Umum Aisyiyah Muntilan ,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,95
3305118,RS Umum Muhammadiyah Kutowinangun ,JAWA TENGAH,RSU,D,Organisasi Islam ,41
3375074,RS Umum  ARO,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,44
3305117,RS Umum PKU Muhammadiyah Petanahan Kebumen,JAWA TENGAH,RSU,D,Organisasi Islam ,35
3309131,RS Umum Islam Banyubening Boyolali ,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,66
3312308,RS Umum Mulia Hati Wonogiri,JAWA TENGAH,RSU,D,Perusahaan,47
3313056,RS Umum Mojosongo 2,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,27
3314092,RS Umum Islam Yakssi Gemolong,JAWA TENGAH,RSU,D,Perusahaan,61
3324037,RS Umum Muhammadiyah Darul Istiqomah,JAWA TENGAH,RSU,D,Organisasi Islam ,71
3313055,RS Umum Jafar Medika Karanganyar,JAWA TENGAH,RSU,D,Organisasi Sosial,38
3306106,RS Umum Purwa Husada,JAWA TENGAH,RSU,D,Perusahaan,23
3301107,RS Umum Santa Maria Cilacap,JAWA TENGAH,RSU,D,Organisasi Katholik,67
3309129,RS Umum Hidayah Boyolali,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,104
3315059,RS Umum Islam Purwodadi ,JAWA TENGAH,RSU,D,Organisasi Islam ,57
3302227,RS Umum Medika Lestari Banyumas,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,71
3318109,RS Umum  Budi Agung Pati,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,47
3301106,RS Umum Duta Mulya,JAWA TENGAH,RSU,D,Perusahaan,43
3313054,RS Umum Indo Sehat Karangayar ,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,43
3316063,RS Umum PKU Muhammdiyah Blora,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,42
3375073,RS Umum H. A. Zaky Djunaid,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,65
3315058,RS Umum Enggal Waras,JAWA TENGAH,RSU,D,Organisasi Sosial,32
3319022,RS Umum Kumala Siwimijen Kudus,JAWA TENGAH,RSU,D,Organisasi Sosial,97
3375072,RS Umum Anugerah Pekalongan,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,60
3329103,RS Umum Islami Mutiara Bunda,JAWA TENGAH,RSU,D,Perusahaan,91
3329102,RS Umum Daerah Bumiayu,JAWA TENGAH,RSU,D,Pemkab,92
3314090,RS Umum PKU Muhammadiyah Sragen ,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,52
3373091,RS Umum Sejahtera Bhakti,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,20
3312307,RS Fitri Candra,JAWA TENGAH,RSU,D,Perusahaan,56
3319021,RS Umum  Aisyiyah Kudus,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,104
3329101,RS Umum Dera As-Syifa,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,71
3303097,RS Umum Daerah Panti Nugroho,JAWA TENGAH,RSU,D,Pemkab,45
3305023,RS Umum Permata Medika Kebumen,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,88
3328078,RS Umum Adella,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,39
3320089,RS Umum PKU Muhammadiyah Mayong,JAWA TENGAH,RSU,D,Organisasi Islam ,104
3312021,RS Umum Maguan Husada,JAWA TENGAH,RSU,D,Perusahaan,78
3313053,RS Umum Jati Husada,JAWA TENGAH,RSU,D,Perorangan,77
3319043,RS Umum  Nurussyifa,JAWA TENGAH,RSU,D,Organisasi Islam ,34
3317026,RS Umum Islam Arafah,JAWA TENGAH,RSU,D,Organisasi Islam ,70
3309128,RS Umum Asy-Syifa Sambi,JAWA TENGAH,RSU,D,Organisasi Islam ,101
3306023,RS Umum  Aisyiyah,JAWA TENGAH,RSU,D,Organisasi Islam ,30
3302074,RS Umum An Ni'mah,JAWA TENGAH,RSU,D,Perusahaan,57
3304032,RS Umum Islam Banjarnegara,JAWA TENGAH,RSU,D,Organisasi Sosial,142
3305114,RS Umum Purwogondo,JAWA TENGAH,RSU,D,Organisasi Sosial,79
3376034, RS Umum Tk.IV Tegal,JAWA TENGAH,RSU,D,TNI AD,49
3375071,RS Umum Karomah Holistic,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,42
3374331,RS Umum Banyumanik,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,36
3374203,RS Umum Bhayangkara Akpol Semarang ,JAWA TENGAH,RSU,D,POLRI,28
3372191,RS Umum Triharsi,JAWA TENGAH,RSU,D,Organisasi Sosial,28
3371142,RS Umum Islam Magelang,JAWA TENGAH,RSU,D,Organisasi Sosial,61
3371084, RS Umum Lestari Raharja,JAWA TENGAH,RSU,D,Organisasi Sosial,57
3329067, RS Umum Dedy Jaya,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,43
3329056,RS Umum Muhammadiyah Siti Aminah,JAWA TENGAH,RSU,D,Organisasi Islam ,93
3329045,RS Umum Siti Asiyah,JAWA TENGAH,RSU,D,Organisasi Islam ,60
3327043,RS Umum Islam Al-Ikhlas,JAWA TENGAH,RSU,D,Organisasi Islam ,65
3327032,RS Umum Islam Moga,JAWA TENGAH,RSU,D,Organisasi Islam ,52
3325026, RS Umum Bhakti Waluyo,JAWA TENGAH,RSU,D,Organisasi Sosial,55
3323046,RS Umum Gunung Sawo Kab. Temanggung,JAWA TENGAH,RSU,D,Organisasi Sosial,40
3322071, RS Umum Bina Kasih,JAWA TENGAH,RSU,D,Organisasi Sosial,55
3321033,RS Umum Islam NU Demak,JAWA TENGAH,RSU,D,Organisasi Islam ,115
3320043,RS Umum Graha Husada,JAWA TENGAH,RSU,D,Organisasi Sosial,87
3319102, RS Umum Bantuan Kudus,JAWA TENGAH,RSU,D,TNI AD,50
3318097,RS Umum Bantuan Pati,JAWA TENGAH,RSU,D,TNI AD,15
3316062,RS Umum Bantuan Blora,JAWA TENGAH,RSU,D,TNI AD,47
3316051,RS Umum PKU Muhammadiyah Cepu,JAWA TENGAH,RSU,D,Organisasi Sosial,96
3316040,RS Umum Permata Blora,JAWA TENGAH,RSU,D,Organisasi Sosial,61
3315057, RS Umum Habibullah,JAWA TENGAH,RSU,D,Organisasi Sosial,44
3315046,RS Umum Muhammadiyah Gubug,JAWA TENGAH,RSU,D,Organisasi Islam ,95
3314067,RS Umum Assalam,JAWA TENGAH,RSU,D,Perusahaan,81
3314023,RS Umum Mardi Lestari Sragen,JAWA TENGAH,RSU,D,Organisasi Sosial,87
3313022,RS Umum Lanuma Adisumarmo,JAWA TENGAH,RSU,D,TNI AU,43
3312284,RS Umum Muhammadiyah Selogiri,JAWA TENGAH,RSU,D,Organisasi Islam ,57
3312273, RS Umum Marga Husada,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,53
3311213, RS Umum Nirmala Suri,JAWA TENGAH,RSU,D,Organisasi Sosial,63
3310395,RS Umum Cakra Husada,JAWA TENGAH,RSU,D,Organisasi Sosial,106
3309107, RS Umum Daerah Simo,JAWA TENGAH,RSU,D,Pemkab,43
3309096, RS Umum Daerah Waras Wiris,JAWA TENGAH,RSU,D,Pemkab,60
3309085,RS Umum  Karanggede Sisma Medika,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,48
3309074,RS Umum Umi Barokah,JAWA TENGAH,RSU,D,Organisasi Sosial,52
3309063,RS Umum PKU Aisyiyah Boyolali,JAWA TENGAH,RSU,D,Organisasi Islam ,137
3309041,RS Umum Dr. Oen Sawit,JAWA TENGAH,RSU,D,Organisasi Sosial,27
3306082,RS Umum Panti Waluyo Yakkum Purworejo,JAWA TENGAH,RSU,D,Organisasi Sosial,50
3305092,RS Umum Purbowangi,JAWA TENGAH,RSU,D,Organisasi Sosial,51
3305081, RS Umum Wijayakusuma,JAWA TENGAH,RSU,D,Organisasi Sosial,61
3305033,RS Umum Palang Biru Gombong,JAWA TENGAH,RSU,D,Organisasi Sosial,93
3302180,RS Umum Sinar Kasih,JAWA TENGAH,RSU,D,Organisasi Sosial,48
3302154, RS Umum Bunda,JAWA TENGAH,RSU,D,Organisasi Sosial,56
3302143,RS Umum Hidayah Purwokerto,JAWA TENGAH,RSU,D,SWASTA/ LAINNYA,53
3302132,RS Umum Islam Purwokerto,JAWA TENGAH,RSU,D,Organisasi Islam ,82
3301036, RS Umum Pertamina Cilacap,JAWA TENGAH,RSU,D,BUMN,44
3203041,RS Bhayangkara Cianjur,JAWA BARAT,RSU,D,POLRI,0
3204134,RSUD Kesehatan Kerja,JAWA BARAT,RSU,D,Pemprop,0
3212060,RS Sentra Medika Langut,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,42
3275068,RS Umum Daerah Bantar Gebang,JAWA BARAT,RSU,D,Pemkot,24
3275067,RS Umum Pondok Gede,JAWA BARAT,RSU,D,Pemkot,22
3275066,RS Umum Daerah Jatisampurna,JAWA BARAT,RSU,D,Pemkot,14
3212057,RS Syahid Al Irsyad,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,21
3208064,RS Umum Aria Kamuning,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,52
3208063,RS Mitra Husada Ciawigebang,JAWA BARAT,RSU,D,Perorangan,8
3201254,Bogor Senior Hospital,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,71
3201253,RS Ibu dan Anak Melania,JAWA BARAT,RSIA,D,Organisasi Katholik,25
3275064,RS Mustika Medika Bekasi,JAWA BARAT,RSU,D,Perusahaan,23
3213048,RS Umum Kharisma,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,27
3216440,RS Umum Daerah Cabangbungin,JAWA BARAT,RSU,D,Pemkab,30
3271166,RS Umum Bhayangkara Tk IV Bogor,JAWA BARAT,RSU,D,POLRI,16
3213047,RS Umum Haji Syaiful Anwar,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,49
3217007,RS Umum Daerah Cikalong Wetan,JAWA BARAT,RSU,D,Pemkab,55
3216439,RS Umum Dr. Iqbali Taufan,JAWA BARAT,RSU,D,Perorangan,0
3211027,RS Umum Harapan Keluarga,JAWA BARAT,RSU,D,Perusahaan,45
3215167,RS Umum Amanda Mitra Keluarga,JAWA BARAT,RSU,D,Perusahaan,37
3212055,RS Umum Pertamina Balongan Indramayu,JAWA BARAT,RSU,D,BUMN,19
3201249,RS Umum Asysyifaa,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,37
3216438,RS Umum Pinna,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,55
3217006,RS Umum IMC,JAWA BARAT,RSU,D,Perusahaan,40
3272075,RS Umum Daerah Al-Mulk,JAWA BARAT,RSU,D,Pemkot,30
3216435,RS Umum Tarumajaya,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,54
3203039,RS Umum Daerah Pagelaran,JAWA BARAT,RSU,D,Pemkab,75
3214040,RS Umum Karina Medika,JAWA BARAT,RSU,D,Perusahaan,73
3216434,RS Umum Budi Asih,JAWA BARAT,RSU,D,Perorangan,32
3208060,RS Umum KMC Luragung,JAWA BARAT,RSU,D,Perusahaan,155
3217004,RS Umum Daerah Lembang,JAWA BARAT,RSU,D,Pemkab,55
3275057,RS Umum Karya Medika Bantar Gebang,JAWA BARAT,RSU,D,Perusahaan,59
3212054,RS Umum MM Indramayu,JAWA BARAT,RSU,D,Perusahaan,78
3205024,RS Umum Annisa Queen,JAWA BARAT,RSU,D,Perusahaan,21
3205023,RS Umum Nurhayati Garut,JAWA BARAT,RSU,D,Organisasi Sosial,61
3216426,RS Umum Kasih Insani Sukatani,JAWA BARAT,RSU,D,Perusahaan,38
3215165,RS Umum Sentral Medika,JAWA BARAT,RSU,D,Perusahaan,53
3216425,RS Umum Bunda Mulia,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,40
3215164,RS Umum Rosela,JAWA BARAT,RSU,D,Perusahaan,53
3216421,RS Umum Puspa Husada,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,21
3204154,RS Umum TNI AU Lanud Sulaiman,JAWA BARAT,RSU,D,TNI AU,21
3275054,RS Umum As-Shofwan,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,35
3215161,RS Umum Mitra Family,JAWA BARAT,RSU,D,Perusahaan,53
3213044,RS Umum Mutiara Hati,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,38
3279003,RS Umum Banjar Patroman,JAWA BARAT,RSU,D,Perusahaan,55
3279002,RS Umum Mitra Idaman,JAWA BARAT,RSU,D,Perusahaan,65
3214037,RS Umum Holistic Purwakarta,JAWA BARAT,RSU,D,Perusahaan,54
3216447,RS Ibu dan Anak Nurul Annisa,JAWA BARAT,RSIA,D,SWASTA/ LAINNYA,35
3205022,RS Umum Daerah Pameungpeuk Prov. Jabar,JAWA BARAT,RSU,D,Pemprop,91
3278018,RS Umum Syifa Medina,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,36
3217002,RS Umum Daerah Cililin,JAWA BARAT,RSU,D,Pemkab,70
3278082,RS Umum Permata Bunda,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,81
3208057,RS Umum El - Syifa,JAWA BARAT,RSU,D,Perusahaan,50
3272062,RS Umum Kartika Kasih,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,110
3207056,RS Umum Al - Arif,JAWA BARAT,RSU,D,Organisasi Sosial,77
3212053,RS Umum Permata Medical Center,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,54
3274111,RS Umum Muhammadiyah,JAWA BARAT,RSU,D,Organisasi Islam ,13
3274100, RS Umum Budi Asta,JAWA BARAT,RSU,D,Organisasi Sosial,47
3273442,RS Umum Bina Sehat ,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,51
3273176,RS Umum Tk IV 03.07.03Sariningsih,JAWA BARAT,RSU,D,TNI AD,68
3273110,RS Umum Bungsu,JAWA BARAT,RSU,D,Organisasi Sosial,56
3272036,RS Umum Ridogalih,JAWA BARAT,RSU,D,Organisasi Sosial,50
3275296,RS Umum Islam dr. Subki Abdulkadir,JAWA BARAT,RSU,D,Organisasi Sosial,42
3275083, RS Seto Hasbadi,JAWA BARAT,RSU,D,Organisasi Sosial,70
3215100,RS Umum Delima Asih Sisma Medika,JAWA BARAT,RSU,D,SWASTA/ LAINNYA,65
3213032,RS Umum TNI AU Lanud Suryadarma,JAWA BARAT,RSU,D,TNI AU,24
3213021,RS Umum PTPN VIII ,JAWA BARAT,RSU,D,BUMN,107
3207045,RS Umum Permata Bunda,JAWA BARAT,RSU,D,Organisasi Sosial,75
3206055,RS Umum Islam Hj. Siti Muniroh,JAWA BARAT,RSU,D,Organisasi Islam ,29
3201013,RS Umum Harapan Depok,JAWA BARAT,RSU,D,Organisasi Sosial,47
3171806,Mayapada Hospital Kuningan,DKI JAKARTA,RSU,D,SWASTA/ LAINNYA,68
3171803,RS Umum Daerah Kebayoran Lama,DKI JAKARTA,RSU,D,Pemprop,35
3172771,RSUD CIPAYUNG,DKI JAKARTA,RSU,D,Pemprop,59
3171801,RS Umum Daerah Kebayoran Baru,DKI JAKARTA,RSU,D,Pemprop,44
3171800,RS Umum Daerah Jati Padang,DKI JAKARTA,RSU,D,Pemprop,45
3174525,RS Umum Daerah Taman Sari,DKI JAKARTA,RSU,D,Pemprop,52
3173705,RS Umum Daerah Tanah Abang,DKI JAKARTA,RSU,D,Pemprop,38
3175416,RS Umum Daerah  Tanjung Priok,DKI JAKARTA,RSU,D,Pemprop,34
3174523,RS Umum Daerah Matraman,DKI JAKARTA,RSU,D,Pemprop,25
3171798,RS Umum Ali Sibroh Malisi,DKI JAKARTA,RSU,D,Perorangan,52
3172765,RS Umum AL-Fauzan,DKI JAKARTA,RSU,D,SWASTA/ LAINNYA,17
3173699,RS Umum Daerah Kemayoran,DKI JAKARTA,RSU,D,Pemprop,38
3174517,RS Umum Daerah  Kembangan,DKI JAKARTA,RSU,D,Pemprop,30
3175413,RS Umum Daerah  Pademangan,DKI JAKARTA,RSU,D,Pemprop,43
3173700,RS Umum Daerah Cempaka Putih,DKI JAKARTA,RSU,D,Pemprop,30
3174518,RS Umum Daerah Kecamatan Kalideres,DKI JAKARTA,RSU,D,Pemprop,11
3172761,RS Umum Daerah Kramat Jati,DKI JAKARTA,RSU,D,Pemprop,63
3171793,RS Umum Daerah Mampang Prapatan,DKI JAKARTA,RSU,D,Pemprop,40
3173701,RS Umum Daerah Johar Baru,DKI JAKARTA,RSU,D,Pemprop,27
3172762,RS Umum Daerah Ciracas,DKI JAKARTA,RSU,D,Pemprop,24
3171792,RS Umum Daerah Jagakarsa,DKI JAKARTA,RSU,D,Pemprop,33
3173698,RS Umum Daerah Sawah Besar,DKI JAKARTA,RSU,D,Pemprop,24
3101002,RS Umum Daerah Kepulauan Seribu,DKI JAKARTA,RSU,D,Pemprop,10
3174510,RS Umum Anggrek Mas,DKI JAKARTA,RSU,D,SWASTA/ LAINNYA,26
3172035,RS Umum Pengayom Cipinang,DKI JAKARTA,RSU,D,Kementerian Lain,0
2171061,RS Bhayangkara Batam Polda Kepri,KEPULAUAN RIAU,RSU,D,POLRI,28
2105005,RS Umum Daerah Tarempa,KEPULAUAN RIAU,RSU,D,Pemkab,22
2005002,RS Umum Daerah Bergerak Jemaja,KEPULAUAN RIAU,RSU,D,Pemkab,14
2171064,RS Santa Elisabeth Sei Lekop,KEPULAUAN RIAU,RSU,D,Perusahaan,38
2004012, RS Umum Daerah Dabo Kabupaten Lingga,KEPULAUAN RIAU,RSU,D,Pemkab,59
2004136,RS Umum Daerah Encik Mariyam,KEPULAUAN RIAU,RSU,D,Pemkab,44
2003125,RS Umum Daerah Palmatak,KEPULAUAN RIAU,RSU,D,Pemkab,32
2003056,RSAU dr. Yuniati Wisma Karyani,KEPULAUAN RIAU,RSU,D,TNI AU,6
1903005,RS Gunung Manik,KEPULAUAN BANGKA BELITUNG,RSU,D,Perusahaan,31
1902012,RS Utama,KEPULAUAN BANGKA BELITUNG,RSU,D,Perorangan,64
1901044,RS Umum Daerah DR. Eko Maulana Ali,KEPULAUAN BANGKA BELITUNG,RSU,D,Pemkab,49
1903002,RS Umum Bakti Timah Muntok,KEPULAUAN BANGKA BELITUNG,RSU,D,Perusahaan,24
1902011,RS Umum Almah,KEPULAUAN BANGKA BELITUNG,RSU,D,SWASTA/ LAINNYA,32
